diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
	0213	1	0	00110	01100	38	12
	0213	0	1	01100	00110	12	38
	0213	1	0	00111	11100	39	28
0220	0220	0	1	01111	11110	15	62
	0220	1	0	00110	01100	38	12
	0220	0	1	01100	00110	12	38
	0220	1	0	00110	01100	38	12
	0220	0	1	11100	00111	28	39
0221	0221	0	1	01110	01110	14	46
	0221	1	0	00110	01100	38	12
	0221	0	1	01100	00110	12	38
	0221	1	0	00110	01100	38	12
	0221	0	1	11100	00111	28	39
0222	0222	0	1	01110	01110	14	46
	0222	1	0	00111	11100	39	28
	0222	0	1	01110	01110	14	46
	0222	1	0	00110	01100	38	12
	0222	0	1	00100	00100	4	36
	0222	1	0	00110	01100	38	12
	0222	0	1	11100	00111	28	39
0223	0223	0	1	00011	11000	3	56
	0223	1	0	00001	10000	33	16
	0223	0	1	01111	11110	15	62
	0223	1	0	00110	01100	38	12
	0223	0	1	01100	00110	12	38
	0223	1	0	00110	01100	38	12
	0223	0	1	11100	00111	28	39
0230	0230	0	1	00111	11100	7	60
	0230	1	0	00010	01000	34	8
	0230	0	1	01110	01110	14	46
	0230	1	0	00100	00100	36	4
	0230	0	1	01100	00110	12	38
	0230	1	0	00111	11100	39	28
0231	0231	0	1	00110	01100	6	44
	0231	1	0	00010	01000	34	8
	0231	0	1	01110	01110	14	46
	0231	1	0	00100	00100	36	4
	0231	0	1	01100	00110	12	38
	0231	1	0	00111	11100	39	28
0232	0232	0	1	00110	01100	6	44
	0232	1	0	00011	11000	35	24
	0232	0	1	01110	01110	14	46
	0232	1	0	00100	00100	36	4
	0232	0	1	01100	00110	12	38
	0232	1	0	00111	11100	39	28
0233	0233	0	1	00110	01100	6	44
	0233	1	0	00011	11000	35	24
	0233	0	1	01110	01110	14	46
	0233	1	0	00111	11100	39	28
	0233	0	1	01110	01110	14	46
	0233	1	0	00111	11100	39	28
0300	0300	0	1	01111	11110	15	62
	0300	1	0	00111	11100	39	28
0301	0301	0	1	01110	01110	14	46
	0301	1	0	00111	11100	39	28
0302	0302	0	1	01110	01110	14	46
	0302	1	0	00111	11100	39	28
	0302	0	1	11110	01111	30	47
0303	0303	0	1	00011	11000	3	56
	0303	1	0	00001	10000	33	16
	0303	0	1	01111	11110	15	62
	0303	1	0	00111	11100	39	28
0310	0310	0	1	01111	11110	15	62
	0310	1	0	00110	01100	38	12
	0310	0	1	11100	00111	28	39
0311	0311	0	1	01110	01110	14	46
	0311	1	0	00110	01100	38	12
	0311	0	1	11100	00111	28	39
0312	0312	0	1	01110	01110	14	46
	0312	1	0	00111	11100	39	28
	0312	0	1	00010	01000	2	40
	0312	1	0	00000	00000	32	0
	0312	0	1	11100	00111	28	39
0313	0313	0	1	00011	11000	3	56
	0313	1	0	00001	10000	33	16
	0313	0	1	01111	11110	15	62
	0313	1	0	00110	01100	38	12
	0313	0	1	11100	00111	28	39
0320	0320	0	1	01111	11110	15	62
	0320	1	0	00110	01100	38	12
	0320	0	1	00100	00100	4	36
	0320	1	0	00110	01100	38	12
	0320	0	1	11100	00111	28	39
0321	0321	0	1	01110	01110	14	46
	0321	1	0	00110	01100	38	12
	0321	0	1	00100	00100	4	36
	0321	1	0	00110	01100	38	12
	0321	0	1	11100	00111	28	39
0322	0322	0	1	00110	01100	6	44
	0322	1	0	00011	11000	35	24
	0322	0	1	00110	01100	6	44
	0322	1	0	00010	01000	34	8
	0322	0	1	01110	01110	14	46
	0322	1	0	00111	11100	39	28
0323	0323	0	1	00110	01100	6	44
	0323	1	0	00011	11000	35	24
	0323	0	1	00110	01100	6	44
	0323	1	0	00011	11000	35	24
	0323	0	1	01110	01110	14	46
	0323	1	0	00111	11100	39	28
0330	0330	0	1	00111	11100	7	60
	0330	1	0	00010	01000	34	8
	0330	0	1	01110	01110	14	46
	0330	1	0	00111	11100	39	28
0331	0331	0	1	00110	01100	6	44
	0331	1	0	00010	01000	34	8
	0331	0	1	01110	01110	14	46
	0331	1	0	00111	11100	39	28
0332	0332	0	1	00110	01100	6	44
	0332	1	0	00011	11000	35	24
	0332	0	1	01110	01110	14	46
	0332	1	0	00111	11100	39	28
0333	0333	0	1	00110	01100	6	44
	0333	1	0	00011	11000	35	24
	0333	0	1	01110	01110	14	46
	0333	1	0	00111	11100	39	28
	0333	0	1	11110	01111	30	47
1000	1000	0	1	01111	11110	15	62
	1000	1	0	00000	00000	32	0
	1000	0	1	10000	00001	16	33
1001	1001	0	1	01110	01110	14	46
	1001	1	0	00000	00000	32	0
	1001	0	1	10000	00001	16	33
1002	1002	0	1	00010	01000	2	40
	1002	1	0	00011	11000	35	24
	1002	0	1	01110	01110	14	46
	1002	1	0	00000	00000	32	0
	1002	0	1	10000	00001	16	33
1003	1003	0	1	00011	11000	3	56
	1003	1	0	00001	10000	33	16
	1003	0	1	01111	11110	15	62
	1003	1	0	00000	00000	32	0
	1003	0	1	10000	00001	16	33
1010	1010	0	1	00011	11000	3	56
	1010	1	0	00000	00000	32	0
	1010	0	1	01100	00110	12	38
	1010	1	0	00000	00000	32	0
	1010	0	1	10000	00001	16	33
1011	1011	0	1	00010	01000	2	40
	1011	1	0	00000	00000	32	0
	1011	0	1	01100	00110	12	38
	1011	1	0	00000	00000	32	0
	1011	0	1	10000	00001	16	33
1012	1012	0	1	11110	01111	30	47
	1012	1	0	01111	11110	47	30
	1012	0	1	11110	01111	30	47
	1012	1	0	01110	01110	46	14
	1012	0	1	11100	00111	28	39
	1012	1	0	01111	11110	47	30
1013	1013	0	1	00011	11000	3	56
	1013	1	0	00001	10000	33	16
	1013	0	1	00011	11000	3	56
